,index,NUTS_ID,CNTR_CODE,NUTS_NAME,Capacity_Wind_on,Capacity_PV,Potential_Wind_on,Potential_PV,RemainingPotential_Wind_on,RemainingPotential_PV,CapacityNational_2030_Wind_on,CapacityNational_2030_PV,CapacityNational_2023_Wind_on,CapacityNational_2023_PV,RemainingPotentialNational_PV,RemainingPotentialNational_Wind_on,Capacity_PV_2030,Capacity_Wind_on_2030,problem_PV,problem_Wind_on,Node,lon,lat
78,78,DEA4,DE,Detmold,2190.1725,1986.767289,6037.591907,35500.0,3847.419407,33513.232711,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,2336.5591982492015,2419.5077602364695,False,False,DE4,8.78504,51.93821
79,79,DEA5,DE,Arnsberg,689.9861,1516.206079,3185.595023,34420.0,2495.608923,32903.793921,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,1859.637015562295,838.7432437528645,False,False,DE4,8.00689,51.31551
80,80,DE60,DE,Hamburg,118.6998,109.311516,305.0,8370.0,186.30020000000002,8260.688484,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,195.5318463825963,129.80469924009114,False,False,DE3,10.01177,53.54726
81,81,DE40,DE,Brandenburg,8533.94005,6508.835339,30761.08937,112490.0,22227.149320000004,105981.164661,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,7615.005974668261,9858.846054357808,False,False,DE4,13.40416,52.46848
82,82,DE50,DE,Bremen,201.314,91.400082,150.0,3180.0,0.0,3088.599918,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,123.63711718967124,201.314,False,True,DE2,8.7371,53.21361
83,83,DE11,DE,Stuttgart,1199.295243,3137.127064,2326.713239,62920.0,1127.4179960000001,59782.872936,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,3761.1064170220106,1266.4978721278565,False,False,DE4,9.6249,49.01569
84,84,DE71,DE,Darmstadt,563.157,1444.532864,0.0,30540.0,0.0,29095.467136,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,1748.2146689682909,563.157,False,True,DE4,8.75727,50.05855
85,85,DE72,DE,Gießen,987.08835,840.525521,0.0,23460.0,0.0,22619.474479,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,1076.6146274270868,987.08835,False,True,DE4,8.74586,50.64749
86,86,DE92,DE,Hannover,2122.9088,1297.932254,12778.22737,51510.0,10655.31857,50212.067746,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,1822.0170295775788,2758.046277527787,False,False,DE4,9.35296,52.39504
87,87,DE93,DE,Lüneburg,3598.1643,1227.908209,24450.07353,82090.0,20851.90923,80862.091791,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,2071.900363304296,4841.095606368306,False,False,DE3,9.78283,53.18183
