,DE,BE,DK,UK,NL,NO
3627,52685.98579,8547.35797776786,4301.420762831459,14987.88793011373,12899.534146689435,13545.420005149721
3628,59967.34243,8470.24733399392,4688.579115598401,15614.7031160797,13540.761127744652,14361.829181959325
3629,66954.81403,8597.72644480933,5117.446468143395,22002.04418701679,14533.284243206508,15630.40274588879
3630,71709.34076,9347.68792079468,5341.140175599924,30115.3887586469,15617.39273713607,16490.843689487694
3631,74461.41837,10383.7550615336,5377.044271447185,34089.61269725986,16266.72961866431,16641.117686539645
3632,75285.85852,11064.883809717,5384.494508697593,34888.85126761157,16833.928478140784,16822.825481320167
3633,75288.54614,11456.6792081408,5365.718904182374,34540.89564076002,17114.79121475415,16756.929446463713
3634,75817.07656,11560.1895689785,5299.405069422807,34604.79114606131,16867.137188119013,16710.214433643523
3635,76585.64172,11641.3956786227,5249.96276665516,35387.04171934258,16723.900663276523,16632.410035423345
3636,75504.8171,11348.1921228704,5174.270792023834,35162.86276106507,16831.037298580417,16608.81925587127
3637,74119.294,11361.0184032607,5056.40480563168,34387.58484175454,16496.551515690717,16529.462249534885
3638,72762.26414,11368.9864047992,5000.367182025471,33628.11569113463,16255.13632004671,16262.4291735324
3639,72635.90739,11267.321646569,5099.837889796028,34821.24191325963,16153.765856050406,16128.678388962497
3640,72637.15694,11175.9888830955,5083.8514062793965,35410.67338008158,15648.046996352823,15908.819331824478
3641,72302.74291,11342.1186596466,4939.803078887524,33604.89083049288,15706.474767202693,15692.237973355932
3642,70190.46917,11384.3625052602,4794.334491844042,31294.00604359608,15843.840316123897,15721.281173175135
3643,67101.67203,11135.5523723049,4659.249930376633,29262.94458236118,15903.578429999634,15506.033522874764
3644,63307.65651,10832.8172428653,4489.091042583383,28200.7060216911,15550.540963472693,15142.484758467426
3645,58390.87174,10680.0152980885,4275.741659328284,27559.47045541296,15036.472962690701,14589.986127274475
3646,54607.26973,11141.3348675611,4112.30408168821,23239.46556956046,14390.265073721946,14633.77236692511
3647,51561.6059,10923.0161858271,4035.344365908246,20434.48714213327,13775.198075705073,14176.75927288814
3648,48003.72312,10032.7745940921,3939.2057939048427,17838.95784909369,11867.529896410608,13243.757325999044
3649,47454.14614,9329.1823766594,3912.450058208762,16761.92061939385,11685.213343558038,13046.508071692577
3650,47134.61408,8750.78458039328,3913.0230140249837,15690.07851582848,11522.231177016927,12637.513926689873
3651,46939.61236,8349.82500576786,3938.627778946004,14584.81870340893,11426.524941330645,12322.382721549062
3652,48891.79701,8104.44553399392,4087.973441347138,13648.07986602648,11551.609365888231,12097.163982258788
3653,52173.55585,7839.99414480933,4455.443163294235,15885.57775011778,11995.889391190824,12466.955500306718
3654,56131.99691,7905.38368079468,4844.75058992043,21665.23864468539,12593.618593222584,13719.691410024605
3655,59665.7346,8498.30806953364,5018.083825246135,27987.82053857905,13086.695826441577,14500.532714768202
3656,61753.79886,9240.05540171696,5069.289782869173,29684.03974603708,13391.76831732435,15072.564065349665
3657,62233.37727,9860.73821214081,5112.344463980487,29093.86300141882,13551.55187139358,15275.219843149125
