,NUTS_ID,CNTR_CODE,NUTS_NAME,Capacity_Wind_on,Capacity_PV,Potential_Wind_on,Potential_PV,RemainingPotential_Wind_on,RemainingPotential_PV,Node
91,DE23,DE,Oberpfalz,329.69975,2681.326272,1567.634804,32040.0,1237.935054,29358.673728,DE4
92,DED5,DE,Leipzig,268.64853,985.26265,6933.4195469999995,25930.0,6664.771016999999,24944.73735,DE4
93,DE12,DE,Karlsruhe,200.0298,1875.069295,0.0,30260.0,0.0,28384.930705,DE4
94,DE13,DE,Freiburg,294.2077,2043.161722,1636.575163,42470.0,1342.367463,40426.838278,DE4
95,NL23,NL,Flevoland,1667.0,878.0,2865.0,10230.0,1198.0,9352.0,NL3
96,NL31,NL,Utrecht,34.0,1009.0,1645.0,11580.0,1611.0,10571.0,NL2
97,NL32,NL,Noord-Holland,755.0,1825.0,3295.0,24040.0,2540.0,22215.0,NL2
98,NL33,NL,Zuid-Holland,784.0,2084.0,3330.0,26550.0,2546.0,24466.0,NL1
99,NL34,NL,Zeeland,573.0,728.0,3205.0,10270.0,2632.0,9542.0,NL1
100,NL41,NL,Noord-Brabant,312.0,3323.0,4950.0,31980.0,4638.0,28657.0,NL4
101,NL22,NL,Gelderland,235.0,2460.0,6050.0,30770.0,5815.0,28310.0,NL4
102,NL42,NL,Limburg (NL),119.0,1485.0,2160.0,14940.0,2041.0,13455.0,NL4
103,NL11,NL,Groningen,843.0,1344.0,5210.0,19230.0,4367.0,17886.0,NL3
104,NL12,NL,Friesland (NL),619.0,1026.0,4265.0,15180.0,3646.0,14154.0,NL3
105,NL13,NL,Drenthe,247.0,1337.0,5780.0,18740.0,5533.0,17403.0,NL3
106,NL21,NL,Overijssel,74.0,1624.0,6125.0,24400.0,6051.0,22776.0,NL4
