,Technology,Country,Capacity TYNDP,Capacity ERAA
242,Gas,MK,276.8,759.5
243,Nuclear,MK,0.0,0.0
244,Oil,MK,0.0,0.0
245,Solar,MK,563.0,580.0
246,Wind Offshore,MK,0.0,0.0
247,Wind Onshore,MK,443.0,443.0
248,Biofuels,MT,0.0,0.0
249,Coal & Lignite,MT,0.0,0.0
250,Gas,MT,486.304,486.3
251,Nuclear,MT,0.0,0.0
252,Oil,MT,0.0,0.0
253,Solar,MT,266.19,266.1900411597352
254,Wind Offshore,MT,0.0,0.0
255,Wind Onshore,MT,0.0,0.0
256,Biofuels,NL,1250.0,2189.6
257,Coal & Lignite,NL,0.0,0.0
258,Gas,NL,14432.724999999999,15698.5
259,Nuclear,NL,486.0,486.0
260,Oil,NL,0.0,0.0
261,Solar,NL,27263.77,46169.92881512357
262,Wind Offshore,NL,11470.0,21470.0
263,Wind Onshore,NL,7976.0,11633.0
264,Biofuels,NO,0.003,0.003
265,Coal & Lignite,NO,0.0,0.0
266,Gas,NO,265.0,265.0
267,Nuclear,NO,0.0,0.0
268,Oil,NO,0.0,0.0
269,Solar,NO,600.0,4134.0
270,Wind Offshore,NO,200.0,1003.5
271,Wind Onshore,NO,6059.675,7839.624999999998
272,Biofuels,NS,0.0,
273,Coal & Lignite,NS,0.0,
274,Gas,NS,0.0,
275,Nuclear,NS,0.0,
276,Oil,NS,0.0,
277,Solar,NS,0.0,
278,Wind Offshore,NS,0.0,
279,Wind Onshore,NS,0.0,
280,Biofuels,PL,3484.204,1396.9
281,Coal & Lignite,PL,19056.45,20256.386663727782
282,Gas,PL,11987.784,11411.517160052437
283,Nuclear,PL,0.0,0.0
284,Oil,PL,0.0,0.0
285,Solar,PL,5113.97,13576.75
286,Wind Offshore,PL,5900.0,5932.5
287,Wind Onshore,PL,8663.32,10805.99999999999
288,Biofuels,PS,0.0,
289,Coal & Lignite,PS,0.0,
290,Gas,PS,200.0,
291,Nuclear,PS,0.0,
292,Oil,PS,140.0,
293,Solar,PS,400.0,
294,Wind Offshore,PS,0.0,
295,Wind Onshore,PS,20.0,
296,Biofuels,PT,1109.72,1101.5
297,Coal & Lignite,PT,0.0,0.0
298,Gas,PT,3643.997,3304.0
299,Nuclear,PT,0.0,0.0
300,Oil,PT,0.0,0.0
301,Solar,PT,7761.458,7573.636412158435
302,Wind Offshore,PT,260.0,246.5
303,Wind Onshore,PT,8901.0,8696.500000000002
304,Biofuels,RO,137.0,137.344245186652
305,Coal & Lignite,RO,2264.299,1124.3
306,Gas,RO,5688.504,4968.840999999999
307,Nuclear,RO,1965.0,1965.0
308,Oil,RO,0.0,0.0
309,Solar,RO,5054.0,5054.000000000001
310,Wind Offshore,RO,0.0,0.0
311,Wind Onshore,RO,5255.0,5254.999999999999
312,Biofuels,RS,141.76,141.21
313,Coal & Lignite,RS,5487.746,4999.748000000001
314,Gas,RS,400.901,400.9
315,Nuclear,RS,0.0,0.0
316,Oil,RS,0.0,0.0
317,Solar,RS,235.05,3545.4
318,Wind Offshore,RS,0.0,0.0
319,Wind Onshore,RS,4520.73,6172.09
320,Biofuels,SE,5074.91,6671.3
321,Coal & Lignite,SE,0.0,0.0
322,Gas,SE,110.78899999999999,200.7635
323,Nuclear,SE,5851.0,6835.0
